stream,stream_name,chunk_time,mediasample_time,device_time,chunk_time_delta_to_lastofstream,media_time_delta_to_lastofstream
2,CANA,341697405,341689552,-1,-1,-1
2,CANA,341697428,341689720,-1,23,168
10,Smarttrack_data,341699413,341699403,-1,-1,-1
9,HeadTracking_Out,341700793,341700765,-1,-1,-1
16,HetAlgoResult,341700881,341700868,-1,-1,-1
4,Image0,341702930,341695282,-1,-1,-1
5,Image1,341706567,341698274,-1,-1,-1
2,CANA,341707267,341695758,-1,9839,6038
2,CANA,341716578,341705996,-1,9311,10238
10,Smarttrack_data,341718006,341717987,-1,18593,18584
9,HeadTracking_Out,341718598,341718582,-1,17805,17817
16,HetAlgoResult,341719474,341719465,-1,18593,18597
4,Image0,341720616,341713788,-1,17686,18506
5,Image1,341724133,341716780,-1,17566,18506
2,CANA,341726348,341715748,-1,9770,9752
2,CANA,341731687,341717774,-1,5339,2026
2,CANA,341731714,341719570,-1,27,1796
6,Env_Cam,341732651,341721971,-1,-1,-1
10,Smarttrack_data,341736759,341736731,-1,18753,18744
16,HetAlgoResult,341737491,341737482,-1,18017,18017
4,Image0,341739081,341732294,-1,18465,18506
5,Image1,341742777,341735286,-1,18644,18506
9,HeadTracking_Out,341743523,341743501,-1,24925,24919
2,CANA,341743933,341725992,-1,12219,6422
2,CANA,341743966,341731482,-1,33,5490
2,CANA,341746316,341735748,-1,2350,4266
10,Smarttrack_data,341755186,341755178,-1,18427,18447
16,HetAlgoResult,341756465,341756458,-1,18974,18976
4,Image0,341756844,341750800,-1,17763,18506
5,Image1,341760183,341753792,-1,17406,18506
2,CANA,341760997,341744666,-1,14681,8918
2,CANA,341761023,341745990,-1,26,1324
9,HeadTracking_Out,341761512,341761509,-1,17989,18008
2,CANA,341766270,341755748,-1,5247,9758
2,CANA,341766295,341757842,-1,25,2094
2,CANA,341766311,341757974,-1,16,132
6,Env_Cam,341769583,341758624,-1,36932,36653
10,Smarttrack_data,341773737,341773731,-1,18551,18553
16,HetAlgoResult,341774479,341774470,-1,18014,18012
4,Image0,341775109,341769306,-1,18265,18506
5,Image1,341778193,341772298,-1,18010,18506
2,CANA,341779019,341765986,-1,12708,8012
9,HeadTracking_Out,341779604,341779599,-1,18092,18090
2,CANA,341786263,341773674,-1,7244,7688
2,CANA,341786300,341773840,-1,37,166
2,CANA,341786317,341774082,-1,17,242
2,CANA,341786333,341775746,-1,16,1664
10,Smarttrack_data,341792222,341792216,-1,18485,18485
16,HetAlgoResult,341793478,341793469,-1,18999,18999
4,Image0,341793531,341787812,-1,18422,18506
5,Image1,341796686,341790804,-1,18493,18506
2,CANA,341797477,341784640,-1,11144,8894
2,CANA,341797508,341785996,-1,31,1356
2,CANA,341797526,341789632,-1,18,3636
2,CANA,341797548,341789800,-1,22,168
9,HeadTracking_Out,341797650,341797646,-1,18046,18047
2,CANA,341806225,341795750,-1,8677,5950
6,Env_Cam,341806582,341795655,-1,36999,37031
10,Smarttrack_data,341810735,341810730,-1,18513,18514
16,HetAlgoResult,341811469,341811463,-1,17991,17994
4,Image0,341811984,341806318,-1,18453,18506
5,Image1,341815031,341809310,-1,18345,18506
9,HeadTracking_Out,341815539,341815534,-1,17889,17888
2,CANA,341816456,341805982,-1,10231,10232
2,CANA,341826638,341815752,-1,10182,9770
2,CANA,341826674,341819582,-1,36,3830
10,Smarttrack_data,341829191,341829184,-1,18456,18454
16,HetAlgoResult,341829464,341829459,-1,17995,17996
4,Image0,341830376,341824824,-1,18392,18506
5,Image1,341833478,341827816,-1,18447,18506
9,HeadTracking_Out,341833856,341833532,-1,18317,17998
2,CANA,341836425,341825986,-1,9751,6404
6,Env_Cam,341843600,341832837,-1,37018,37182
2,CANA,341846621,341835752,-1,10196,9766
10,Smarttrack_data,341847623,341847617,-1,18432,18433
16,HetAlgoResult,341848472,341848465,-1,19008,19006
4,Image0,341849240,341843330,-1,18864,18506
9,HeadTracking_Out,341851557,341851543,-1,17701,18011
5,Image1,341852147,341846321,-1,18669,18505
2,CANA,341856415,341845988,-1,9794,10236
10,Smarttrack_data,341866246,341866236,-1,18623,18619
16,HetAlgoResult,341866468,341866464,-1,17996,17999
4,Image0,341868060,341861836,-1,18820,18506
9,HeadTracking_Out,341869560,341869552,-1,18003,18009
5,Image1,341872055,341864827,-1,19908,18506
2,CANA,341873152,341855744,-1,16737,9756
2,CANA,341876386,341866002,-1,3234,10258
6,Env_Cam,341880604,341869810,-1,37004,36973
10,Smarttrack_data,341884853,341884842,-1,18607,18606
16,HetAlgoResult,341885499,341885485,-1,19031,19021
4,Image0,341886842,341880342,-1,18782,18506
9,HeadTracking_Out,341887546,341887539,-1,17986,17987
5,Image1,341889809,341883333,-1,17754,18506
2,CANA,341890589,341872962,-1,14203,6960
2,CANA,341890616,341873092,-1,27,130
2,CANA,341890631,341873672,-1,15,580
2,CANA,341890647,341873838,-1,16,166
2,CANA,341890662,341874081,-1,15,243
2,CANA,341890677,341875747,-1,15,1666
2,CANA,341896360,341885983,-1,5683,10236
2,CANA,341896399,341889595,-1,39,3612
2,CANA,341896420,341889763,-1,21,168
10,Smarttrack_data,341903430,341903422,-1,18577,18580
16,HetAlgoResult,341903476,341903471,-1,17977,17986
4,Image0,341904672,341898848,-1,17830,18506
9,HeadTracking_Out,341905552,341905544,-1,18006,18005
5,Image1,341907893,341901839,-1,18084,18506
2,CANA,341908690,341895746,-1,12270,5983
2,CANA,341916323,341905992,-1,7633,10246
6,Env_Cam,341917605,341906783,-1,37001,36973
10,Smarttrack_data,341921871,341921863,-1,18441,18441
16,HetAlgoResult,341922484,341922479,-1,19008,19008
4,Image0,341923233,341917353,-1,18561,18505
9,HeadTracking_Out,341923715,341923545,-1,18163,18001
5,Image1,341926743,341920345,-1,18850,18506
2,CANA,341927714,341915744,-1,11391,9752
2,CANA,341927743,341917776,-1,29,2032
2,CANA,341927760,341919574,-1,17,1798
2,CANA,341936298,341925980,-1,8538,6406
10,Smarttrack_data,341940385,341940378,-1,18514,18515
16,HetAlgoResult,341941490,341941481,-1,19006,19002
9,HeadTracking_Out,341941571,341941565,-1,17856,18020
4,Image0,341941667,341935859,-1,18434,18506
5,Image1,341944864,341938851,-1,18121,18506
2,CANA,341946524,341935748,-1,10226,9768
6,Env_Cam,341954609,341943895,-1,37004,37112
2,CANA,341956256,341945994,-1,9732,10246
10,Smarttrack_data,341958906,341958900,-1,18521,18522
9,HeadTracking_Out,341959558,341959552,-1,17987,17987
4,Image0,341960017,341954365,-1,18350,18506
16,HetAlgoResult,341960492,341960486,-1,19002,19005
5,Image1,341963014,341957357,-1,18150,18506
2,CANA,341966485,341955744,-1,10229,9750
2,CANA,341976253,341965986,-1,9768,10242
10,Smarttrack_data,341977420,341977414,-1,18514,18514
9,HeadTracking_Out,341977543,341977539,-1,17985,17987
4,Image0,341978809,341972871,-1,18792,18506
16,HetAlgoResult,341979501,341979495,-1,19009,19009
5,Image1,341981633,341975863,-1,18619,18506
2,CANA,341986468,341973672,-1,10215,7686
2,CANA,341986505,341973838,-1,37,166
2,CANA,341986522,341974080,-1,17,242
2,CANA,341986537,341975744,-1,15,1664
2,CANA,341986553,341977888,-1,16,2144
2,CANA,341986569,341978022,-1,16,134
6,Env_Cam,341991696,341980882,-1,37087,36987
10,Smarttrack_data,341995854,341995846,-1,18434,18432
16,HetAlgoResult,341997530,341997512,-1,18029,18017
